state,name,date,open,high,low,close,volume
NH,Democratic,2019-09-13,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-14,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-09-14,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-15,0.23,0.23,0.22,0.22,476
NH,Democratic,2019-09-15,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-16,0.22,0.26,0.22,0.26,169
NH,Democratic,2019-09-16,0.77,0.77,0.77,0.77,0
NH,Republican,2019-09-17,0.26,0.33999999999999997,0.26,0.33999999999999997,673
NH,Democratic,2019-09-17,0.77,0.77,0.73,0.73,347
NH,Republican,2019-09-18,0.33999999999999997,0.45,0.32,0.36,1362
NH,Democratic,2019-09-18,0.73,0.73,0.61,0.61,622
NH,Republican,2019-09-19,0.36,0.36,0.33999999999999997,0.33999999999999997,383
NH,Democratic,2019-09-19,0.61,0.6799999999999999,0.61,0.6799999999999999,50
NH,Republican,2019-09-20,0.33999999999999997,0.38,0.33999999999999997,0.36,223
NH,Democratic,2019-09-20,0.6799999999999999,0.69,0.6699999999999999,0.6699999999999999,55
NH,Republican,2019-09-21,0.36,0.36,0.35,0.35,1
NH,Democratic,2019-09-21,0.6699999999999999,0.69,0.6599999999999999,0.69,53
NH,Republican,2019-09-22,0.35,0.35,0.3,0.3,555
NH,Democratic,2019-09-22,0.69,0.72,0.69,0.72,460
NH,Republican,2019-09-23,0.3,0.3,0.3,0.3,0
NH,Democratic,2019-09-23,0.72,0.74,0.7,0.74,92
NH,Republican,2019-09-24,0.3,0.31,0.29000000000000004,0.29000000000000004,207
NH,Democratic,2019-09-24,0.74,0.75,0.74,0.75,265
NH,Republican,2019-09-25,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0
NH,Democratic,2019-09-25,0.75,0.75,0.74,0.74,250
NH,Republican,2019-09-26,0.29000000000000004,0.31,0.29000000000000004,0.31,101
NH,Democratic,2019-09-26,0.74,0.74,0.74,0.74,0
NH,Republican,2019-09-27,0.31,0.31,0.31,0.31,0
NH,Democratic,2019-09-27,0.74,0.75,0.74,0.75,250
NH,Republican,2019-09-28,0.31,0.32,0.28,0.28,113
NH,Democratic,2019-09-28,0.75,0.76,0.75,0.76,185
NH,Republican,2019-09-29,0.28,0.28,0.27,0.27,98
NH,Democratic,2019-09-29,0.76,0.7799999999999999,0.76,0.7799999999999999,584
NH,Republican,2019-09-30,0.27,0.27,0.27,0.27,88
NH,Democratic,2019-09-30,0.7799999999999999,0.7799999999999999,0.76,0.76,67
NH,Republican,2019-10-01,0.27,0.27,0.26,0.26,152
NH,Democratic,2019-10-01,0.76,0.76,0.76,0.76,0
NH,Republican,2019-10-02,0.26,0.26,0.24000000000000002,0.24000000000000002,392
NH,Democratic,2019-10-02,0.76,0.7899999999999999,0.75,0.75,350
NH,Republican,2019-10-03,0.24000000000000002,0.24000000000000002,0.21000000000000002,0.24000000000000002,293
NH,Democratic,2019-10-03,0.75,0.7899999999999999,0.75,0.77,16
NH,Republican,2019-10-04,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-10-04,0.77,0.7899999999999999,0.77,0.7799999999999999,58
NH,Republican,2019-10-05,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-10-05,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-10-06,0.24000000000000002,0.24000000000000002,0.24000000000000002,0.24000000000000002,0
NH,Democratic,2019-10-06,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-10-07,0.24000000000000002,0.25,0.23,0.23,2
NH,Democratic,2019-10-07,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NH,Republican,2019-10-08,0.23,0.23,0.23,0.23,0
NH,Democratic,2019-10-08,0.7799999999999999,0.7799999999999999,0.7799999999999999,0.7799999999999999,0
NC,Republican,2019-07-11,0.59,0.6,0.59,0.6,37
NC,Democratic,2019-07-11,0.43000000000000005,0.44,0.43000000000000005,0.44,1
NC,Republican,2019-07-12,0.6,0.61,0.6,0.61,5
NC,Democratic,2019-07-12,0.44,0.44,0.41000000000000003,0.44,31
NC,Republican,2019-07-13,0.61,0.61,0.61,0.61,0
NC,Democratic,2019-07-13,0.44,0.44,0.41000000000000003,0.41000000000000003,1
NC,Republican,2019-07-14,0.61,0.61,0.59,0.6,12
NC,Democratic,2019-07-14,0.41000000000000003,0.44,0.41000000000000003,0.44,25
NC,Republican,2019-07-15,0.6,0.6,0.59,0.59,22
NC,Democratic,2019-07-15,0.44,0.44,0.43000000000000005,0.44,11
NC,Republican,2019-07-16,0.59,0.6,0.59,0.59,100
NC,Democratic,2019-07-16,0.44,0.44,0.44,0.44,0
NC,Republican,2019-07-17,0.59,0.59,0.59,0.59,1
NC,Democratic,2019-07-17,0.44,0.45,0.44,0.45,65
NC,Republican,2019-07-18,0.59,0.59,0.59,0.59,0
NC,Democratic,2019-07-18,0.45,0.45,0.45,0.45,2
NC,Republican,2019-07-19,0.59,0.59,0.59,0.59,1
NC,Democratic,2019-07-19,0.45,0.45,0.45,0.45,0
NC,Republican,2019-07-20,0.59,0.6,0.58,0.58,46
NC,Democratic,2019-07-20,0.45,0.45,0.41000000000000003,0.41000000000000003,69
NC,Republican,2019-07-21,0.58,0.58,0.58,0.58,0
NC,Democratic,2019-07-21,0.41000000000000003,0.43000000000000005,0.41000000000000003,0.43000000000000005,3
NC,Republican,2019-07-22,0.58,0.58,0.58,0.58,76
NC,Democratic,2019-07-22,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,0
NC,Republican,2019-07-23,0.58,0.58,0.58,0.58,0
NC,Democratic,2019-07-23,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,0
NC,Republican,2019-07-24,0.58,0.58,0.58,0.58,5
NC,Democratic,2019-07-24,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,11
NC,Republican,2019-07-25,0.58,0.58,0.58,0.58,0
NC,Democratic,2019-07-25,0.43000000000000005,0.43000000000000005,0.43000000000000005,0.43000000000000005,0
NC,Republican,2019-07-26,0.58,0.6,0.58,0.6,20
